Total Items,Buckets,Removed,Escalated,Time Elapsed,Time to Send,Time to Receive
1000000,5,0,0,0.189784303,0.132660383,0.05711994
1000000,10,0,0,0.233516515,0.176141808,0.057370967
1000000,15,0,0,0.233891082,0.176742211,0.057145201
1000000,20,0,0,0.217160909,0.158457746,0.058698963
1000000,25,0,0,0.227972722,0.170580652,0.05738844
1000000,30,0,0,0.232389806,0.173230536,0.05915423
1000000,35,0,0,0.199818358,0.14235436,0.057459908
1000000,40,0,0,0.209756308,0.151787885,0.057964303
1000000,45,0,0,0.199243976,0.141735678,0.057504468
1000000,50,0,0,0.210216389,0.152735469,0.0574756
1000000,55,0,0,0.221664361,0.16251186,0.059148761
1000000,60,0,0,0.225220811,0.167653782,0.057563409
1000000,65,0,0,0.189910964,0.132080629,0.057825165
1000000,70,0,0,0.169361267,0.111847316,0.057509791
1000000,75,0,0,0.198859889,0.140695165,0.058161014
1000000,80,0,0,0.197056769,0.139609457,0.057443612
1000000,85,0,0,0.204030402,0.146601431,0.057425022
1000000,90,0,0,0.207381765,0.14934585,0.058032285
1000000,95,0,0,0.199866274,0.142152424,0.05770954
1000000,100,0,0,0.212269626,0.154403458,0.057862858
2000000,5,0,0,0.463133665,0.347538087,0.115590718
2000000,10,0,0,0.428248459,0.313433879,0.11480802
2000000,15,0,0,0.443390205,0.328688714,0.114694711
2000000,20,0,0,0.394881118,0.278456023,0.116417925
2000000,25,0,0,0.42129288,0.306418148,0.114868803
2000000,30,0,0,0.474313491,0.323970007,0.150338264
2000000,35,0,0,0.383674055,0.26881707,0.114852575
2000000,40,0,0,0.410969347,0.296139949,0.114822978
2000000,45,0,0,0.431114934,0.316240227,0.114869717
2000000,50,0,0,0.452711008,0.33771034,0.114996588
2000000,55,0,0,0.469223947,0.354212558,0.11500456
2000000,60,0,0,0.47925181,0.364244269,0.115001501
2000000,65,0,0,0.416106091,0.301166898,0.114933103
2000000,70,0,0,0.425083372,0.309794262,0.11528365
2000000,75,0,0,0.438138011,0.322831989,0.115302102
2000000,80,0,0,0.439246059,0.323942847,0.115299422
2000000,85,0,0,0.444206296,0.328885591,0.115316685
2000000,90,0,0,0.448249861,0.332952456,0.115293405
2000000,95,0,0,0.439710444,0.324604105,0.11509997
2000000,100,0,0,0.505268684,0.38866833,0.116596805
3000000,5,0,0,0.691616426,0.519690098,0.171922598
3000000,10,0,0,0.742500906,0.570311847,0.172185379
3000000,15,0,0,0.608189128,0.434744462,0.173441186
3000000,20,0,0,0.65949574,0.487653972,0.171837778
3000000,25,0,0,0.570289591,0.397358351,0.17292759
3000000,30,0,0,0.593475557,0.419683546,0.173788101
3000000,35,0,0,0.649016586,0.475789804,0.173223692
3000000,40,0,0,0.681068083,0.508119095,0.172945899
3000000,45,0,0,0.711773336,0.539175139,0.172594517
3000000,50,0,0,0.635857059,0.462815647,0.173037852
3000000,55,0,0,0.665072434,0.486402578,0.178666296
3000000,60,0,0,0.685683934,0.508045503,0.177634661
3000000,65,0,0,0.696487201,0.522371387,0.174108964
3000000,70,0,0,0.717006517,0.543526146,0.173474131
3000000,75,0,0,0.880341206,0.694974477,0.185359979
3000000,80,0,0,0.733736333,0.560421512,0.173307751
3000000,85,0,0,0.835224407,0.661945122,0.173274655
3000000,90,0,0,0.72902678,0.555688061,0.17333319
3000000,95,0,0,0.723791197,0.549529917,0.17425739
3000000,100,0,0,0.658435409,0.484867408,0.173564131
4000000,5,0,0,0.910467303,0.681572037,0.228890436
4000000,10,0,0,0.941390301,0.711773866,0.229612495
4000000,15,0,0,0.960136998,0.729608787,0.230523671
4000000,20,0,0,0.761404153,0.521368395,0.240030328
4000000,25,0,0,0.797869381,0.5663841,0.231480841
4000000,30,0,0,0.864450309,0.633999473,0.230446526
4000000,35,0,0,0.795733838,0.561888865,0.233840553
4000000,40,0,0,0.82265524,0.591934968,0.230715732
